blocksize, gridsize, runtime
143,30,282
143,31,283
143,32,301
143,33,314
143,34,301
143,35,300
143,36,307
143,37,376
143,38,376
143,39,369
143,40,367
143,41,363
143,42,366
143,43,365
143,44,386
143,45,394
143,46,394
143,47,392
143,48,393
143,49,494
143,50,489
143,51,501
143,52,489
143,53,481
143,54,489
143,55,484
143,56,503
143,57,510
143,58,515
143,59,517
143,60,526
143,61,616
143,62,605
143,63,622
143,64,611
143,65,622
143,66,612
143,67,612
143,68,620
143,69,629
143,70,656
143,71,642
143,72,653
143,73,740
143,74,741
143,75,747
143,76,731
143,77,728
143,78,739
143,79,740
143,80,738
143,81,759
143,82,765
143,83,764
143,84,779
143,85,871
143,86,840
143,87,850
143,88,848
143,89,858
143,90,881
143,91,828
143,92,875
143,93,879
143,94,909
143,95,913
143,96,908
143,97,1014
143,98,992
143,99,1019
143,100,994
153,1,197
153,2,197
153,3,207
153,4,193
153,5,197
153,6,196
153,7,197
153,8,196
153,9,198
153,10,196
153,11,196
153,12,196
153,13,213
153,14,212
153,15,212
153,16,211
153,17,213
153,18,212
153,19,215
153,20,223
153,21,230
153,22,234
153,23,233
153,24,224
153,25,286
153,26,273
153,27,288
153,28,281
153,29,281
153,30,281
153,31,283
153,32,306
153,33,313
153,34,305
153,35,305
153,36,305
153,37,378
153,38,372
153,39,375
153,40,367
153,41,375
153,42,366
153,43,372
153,44,388
153,45,399
153,46,397
153,47,414
153,48,409
153,49,513
153,50,507
153,51,504
153,52,500
153,53,496
153,54,503
153,55,505
153,56,516
153,57,521
153,58,533
153,59,526
153,60,548
153,61,631
153,62,621
153,63,630
153,64,618
153,65,632
153,66,619
153,67,626
153,68,640
153,69,650
153,70,648
153,71,652
153,72,662
153,73,761
153,74,742
153,75,737
153,76,744
153,77,737
153,78,727
153,79,739
153,80,750
153,81,758
153,82,786
153,83,786
153,84,775
153,85,856
153,86,863
153,87,857
153,88,840
153,89,866
153,90,904
153,91,848
153,92,871
153,93,933
153,94,955
153,95,976
153,96,920
153,97,1053
153,98,1044
153,99,1057
153,100,1044
163,1,187
163,2,187
163,3,186
163,4,186
163,5,189
163,6,187
163,7,187
163,8,188
163,9,187
163,10,188
163,11,187
163,12,188
163,13,207
163,14,202
163,15,207
163,16,200
163,17,203
163,18,209
163,19,210
163,20,214
163,21,227
163,22,222
163,23,223
163,24,220
163,25,290
163,26,286
163,27,296
163,28,295
163,29,294
163,30,293
163,31,299
163,32,315
163,33,321
163,34,314
163,35,318
163,36,317
163,37,396
163,38,394
163,39,406
163,40,391
163,41,397
163,42,399
163,43,397
163,44,396
163,45,403
163,46,421
163,47,422
163,48,410
163,49,545
163,50,536
163,51,549
163,52,549
163,53,535
163,54,543
163,55,538
163,56,538
163,57,539
163,58,546
163,59,554
163,60,550
163,61,682
163,62,653
163,63,663
163,64,651
163,65,668
163,66,648
163,67,652
163,68,654
163,69,639
163,70,655
163,71,672
163,72,669
163,73,818
163,74,804
163,75,802
163,76,797
163,77,803
163,78,787
163,79,801
163,80,811
163,81,803
163,82,823
163,83,827
163,84,810
163,85,938
163,86,928
163,87,915
163,88,901
163,89,889
163,90,942
163,91,911
163,92,913
163,93,935
163,94,974
163,95,984
163,96,951
163,97,1130
163,98,1080
163,99,1066
163,100,1067
174,1,178
174,2,176
174,3,175
174,4,174
174,5,178
174,6,177
174,7,176
174,8,175
174,9,176
174,10,179
174,11,179
174,12,176
174,13,196
174,14,193
174,15,196
174,16,196
174,17,199
174,18,200
174,19,197
174,20,209
174,21,220
174,22,218
174,23,215
174,24,219
174,25,289
174,26,290
174,27,300
174,28,298
174,29,295
174,30,299
174,31,300
174,32,316
174,33,323
174,34,314
174,35,312
174,36,312
174,37,397
174,38,400
174,39,399
174,40,391
174,41,392
174,42,386
174,43,390
174,44,397
174,45,405
174,46,411
174,47,423
174,48,409
174,49,538
174,50,543
174,51,581
174,52,548
174,53,545
174,54,550
174,55,546
174,56,548
174,57,557
174,58,567
174,59,557
174,60,557
174,61,661
174,62,652
174,63,665
174,64,654
174,65,659
174,66,652
174,67,654
174,68,656
174,69,651
174,70,679
174,71,684
174,72,675
174,73,805
174,74,793
174,75,819
174,76,810
174,77,811
174,78,852
174,79,811
174,80,812
174,81,824
174,82,855
174,83,840
174,84,831
174,85,927
174,86,960
174,87,942
174,88,935
174,89,987
174,90,1000
174,91,992
174,92,1008
174,93,974
174,94,1018
174,95,1003
174,96,961
174,97,1153
174,98,1137
174,99,1106
174,100,1102
184,1,167
184,2,166
184,3,166
184,4,166
184,5,168
184,6,167
184,7,167
184,8,166
184,9,169
184,10,167
184,11,167
184,12,169
184,13,187
184,14,190
184,15,190
184,16,194
184,17,193
184,18,192
184,19,193
184,20,207
184,21,217
184,22,216
184,23,212
184,24,214
184,25,287
184,26,287
184,27,299
184,28,289
184,29,294
184,30,292
184,31,292
184,32,309
184,33,315
184,34,308
184,35,309
184,36,311
184,37,386
184,38,389
184,39,386
184,40,378
184,41,381
184,42,382
184,43,388
184,44,393
184,45,399
184,46,418
184,47,422
184,48,408
184,49,536
184,50,535
184,51,540
184,52,532
184,53,535
184,54,540
184,55,532
184,56,541
184,57,544
184,58,554
184,59,553
184,60,554
184,61,653
184,62,646
184,63,632
184,64,631
184,65,641
184,66,639
184,67,637
184,68,634
184,69,647
184,70,674
184,71,680
184,72,667
184,73,801
184,74,783
184,75,795
184,76,787
184,77,812
184,78,805
184,79,806
184,80,818
184,81,825
184,82,868
184,83,883
184,84,871
184,85,959
184,86,942
184,87,976
184,88,924
184,89,960
184,90,968
184,91,973
184,92,998
184,93,970
184,94,1094
184,95,1038
184,96,1022
184,97,1119
184,98,1153
184,99,1136
184,100,1138
194,1,162
194,2,159
194,3,159
194,4,158
194,5,161
194,6,160
194,7,161
194,8,159
194,9,163
194,10,162
194,11,161
